"Продам 3к квартиру, гарна планування, не кутова, лічильники    ","Хмельницкий, Хмельницкая область"," 12:19, 24 июля 2017",427371684,"20 000 $","гарне планування, всі кімнати окремі, квартира не кутова, м/п вікна, лічильники, фото приблизне                                        
                                    
                                    
                                
                                

                                
                                                                                                
                                    
                                        ","Бизнес																","Вторичный рынок																",3,"65 м","не указано","не указано","не указано",2,9,https://olxua-ring07.akamaized.net/images_slandocomua/491830044_2_644x461_prodam-3k-kvartiru-garna-planuvannya-ne-kutova-lchilniki-fotografii_rev004.jpg,https://olxua-ring07.akamaized.net/images_slandocomua/491830044_3_644x461_prodam-3k-kvartiru-garna-planuvannya-ne-kutova-lchilniki-vtorichnyy-rynok_rev004.jpg,"не указано",https://www.olx.ua/obyavlenie/prodam-3k-kvartiru-garna-planuvannya-ne-kutova-lchilniki-IDsWcTG.html#d87ad13fbe;promoted
"Продам 2-х комнатную квартиру в Кагарлыке    ","Кагарлык, Киевская область, Кагарлицкий район"," 20:38, 16 августа 2017",442755878,"15 000 $","Продам 2-х кімнатну квартиру, 1- й поверх двоповерхового будинку. Квартира знаходиться в м. Кагарлик, Київської обл. В квартирі два входа, металопластикові вікна, автономне опалення. Затишний двір. Всі документи готові. Я власник кваритри. Можливий розумний торог.","Частного лица																","Вторичный рынок																",2,"42 м","не указано","9 м","Кирпичный																</a>",1,2,https://olxua-ring02.akamaized.net/images_slandocomua/512808550_2_644x461_prodam-2-h-komnatnuyu-kvartiru-v-kagarlyke-fotografii.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/512808550_3_644x461_prodam-2-h-komnatnuyu-kvartiru-v-kagarlyke-vtorichnyy-rynok.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/512808550_4_644x461_prodam-2-h-komnatnuyu-kvartiru-v-kagarlyke-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/prodam-2-h-komnatnuyu-kvartiru-v-kagarlyke-IDtXL1Q.html#d87ad13fbe;promoted
"Однокімнатна квартира в Центрі    ","Ровно, Ровенская область"," 20:38, 16 августа 2017",446326642,"3 500 грн.","Однокімнатна квартира в центральній частині міста. Мебльована, без побутової техніки.
АН. Перегляд квартири 20грн, комісія 50%                                        
                                    
                                    
                                
                                

                                
                                                                                                

	
        	","Бизнес																","не указано",1,"не указано","не указано","не указано","Кирпичный																</a>","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/odnokmnatna-kvartira-v-tsentr-IDucJVO.html#d87ad13fbe
"3-х комнатная квартира в Коблево    ","Коблево, Николаевская область, Березанский район"," 20:37, 16 августа 2017",331396112,"29 000 $","Отличная квартира в центре Коблево. Комнаты 15 + 13,4 + 11,8м.кв.  Индивидуальное газовое отопление. Окна на две стороны. Все необходимое рядом: трасса, садик, школа, поликлиника, магазины, рынок и т.д. Маршрутки на берег, в Южный, Одессу, Николаев. Дополнительные вопросы по телефону. Торг только с реальным покупателем после осмотра квартиры.","Частного лица																","Вторичный рынок																",3,"64 м","40 м","9 м","Кирпичный																</a>",2,5,"не указано","не указано","не указано",https://www.olx.ua/obyavlenie/3-h-komnatnaya-kvartira-v-koblevo-IDmqwgA.html#d87ad13fbe
"Гостевой дом &quot;SoLaris&quot;    ","Курортное, Крым, Феодосия, город"," 20:37, 16 августа 2017",328091302,"25 $","Отдых в современных номерах класса люкс, с шикарным видом на море и горы, в непосредственной близости к набережной. Во всех номерах новая мебель, телевизор со спутниковым тв, холодильник, WiFi, кондиционер, сан. узел. На территории есть стоянка для машин, летняя кухня, детская площадка. Расстояние до моря 400 метров.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring02.akamaized.net/images_slandocomua/359635934_1_644x461_gostevoy-dom-solaris-belogorsk.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/359635934_2_644x461_gostevoy-dom-solaris-fotografii.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/359635934_7_644x461_gostevoy-dom-solaris-.jpg,https://www.olx.ua/obyavlenie/gostevoy-dom-solaris-IDmcDxc.html#d87ad13fbe
"Сдам 2 ком. ул.Зодчих    ","Киев, Киевская область, Святошинский"," 20:37, 14 августа 2017",443281848,"6 000 грн.","Сдам  2 ком.разд. Ул.Зодчих .Мебель 90-х.Бытовая техника. Цена: 6000грн+ ком.усл  Риелтор  комиссия 50%  .                                        
                                    
                                    
                                
                                

                                
                                                                                                

	
        	","Бизнес																","не указано",2,"не указано","не указано","не указано","Панельный																</a>","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/sdam-2-kom-ul-zodchih-IDtZXRe.html#d87ad13fbe;promoted
"Хостел залізн вокзал/швидкісний трамвай. АКЦІЯ!    ","Киев, Киевская область, Соломенский"," 20:37, 16 августа 2017",438603746,"70 грн.","14 хв до залізн вокзалу. Класна розв'язка - транспорт у всі сторони Києва. 
Нові матраци, подушки, ковдри, постільна з бавовни, кухня, посуд, пралка, вай-фай. 
Щоденне прибирання.
АКЦІЯ: Перший тиждень проживання 330 грн/тиждень, при продовженні проживання чи повторному поселенні ціна за тарифом 350 грн.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring01.akamaized.net/images_slandocomua/506961794_2_644x461_hostel-zalzn-vokzal-shvidksniy-tramvay-aktsya-fotografii_rev007.jpg,https://olxua-ring01.akamaized.net/images_slandocomua/506961794_3_644x461_hostel-zalzn-vokzal-shvidksniy-tramvay-aktsya-koyko-mesta_rev007.jpg,https://olxua-ring01.akamaized.net/images_slandocomua/506961794_4_644x461_hostel-zalzn-vokzal-shvidksniy-tramvay-aktsya-nedvizhimost_rev007.jpg,https://www.olx.ua/obyavlenie/hostel-zalzn-vokzal-shvidksniy-tramvay-aktsya-IDtGkRY.html#d87ad13fbe;promoted
"Соломенcкий район. Аренда жилья в Киеве. Койко-место от хозяина.    ","Киев, Киевская область, Соломенский"," 20:37, 16 августа 2017",373365822,"300 грн.","Очень комфортный хостел. Комнаты в хостеле рассчитаны на проживание  всего 4-х человек. Комната закрывается на ключ. При поселение Вам выдаются ключи от комнаты и квартиры , приходить и уходить можно в любое время. Кровати в комнате одноэтажные , под кроватью имеется огромный ящик для личных вещей.

Домашняя обстановка, очень уютно и чисто.","Бизнес																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring05.akamaized.net/images_slandocomua/417867866_1_644x461_solomenckiy-rayon-arenda-zhilya-v-kieve-koyko-mesto-ot-hozyaina-kiev_rev001.jpg,https://olxua-ring05.akamaized.net/images_slandocomua/417867866_2_644x461_solomenckiy-rayon-arenda-zhilya-v-kieve-koyko-mesto-ot-hozyaina-fotografii_rev001.jpg,https://olxua-ring05.akamaized.net/images_slandocomua/417867866_3_644x461_solomenckiy-rayon-arenda-zhilya-v-kieve-koyko-mesto-ot-hozyaina-koyko-mesta_rev001.jpg,https://www.olx.ua/obyavlenie/solomenckiy-rayon-arenda-zhilya-v-kieve-koyko-mesto-ot-hozyaina-IDpgBwo.html#d87ad13fbe
"Продам Дом    ","Верхняя Терса, Запорожская область, Гуляйпольский район"," 20:37, 16 августа 2017",438085752,"4 500 $","Продам капитальный дом. Все вопросы по телефону

с. Верхня терса                                        
                                    
                                    
                                
                                

                                
                                                                                                
                                    
                                        ","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring04.akamaized.net/images_slandocomua/511508424_2_644x461_prodam-dom-fotografii.jpg,https://olxua-ring04.akamaized.net/images_slandocomua/511508424_3_644x461_prodam-dom-prodazha-domov-za-gorodom.jpg,https://olxua-ring04.akamaized.net/images_slandocomua/511508424_4_644x461_prodam-dom-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/prodam-dom-IDtEa7e.html#d87ad13fbe
"Здам 1 комнатную ст М. Академгородок    ","Киев, Киевская область, Святошинский"," 20:37, 16 августа 2017",438739312,"5 500 грн.","Здам  1 комнатную квартиру Ушакова 14а . Новый дом 52м-кв.общей площадью . Большая кухня 13.м.кв чистая акуратная , вся мебель и бытовая техника. На длительный срок.","Бизнес																","не указано",1,"не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring03.akamaized.net/images_slandocomua/517718888_2_644x461_zdam-1-komnatnuyu-st-m-akademgorodok-fotografii_rev010.jpg,https://olxua-ring03.akamaized.net/images_slandocomua/517718888_3_644x461_zdam-1-komnatnuyu-st-m-akademgorodok-dolgosrochnaya-arenda-kvartir_rev010.jpg,https://olxua-ring03.akamaized.net/images_slandocomua/517718888_4_644x461_zdam-1-komnatnuyu-st-m-akademgorodok-nedvizhimost_rev010.jpg,https://www.olx.ua/obyavlenie/zdam-1-komnatnuyu-st-m-akademgorodok-IDtGU8v.html#d87ad13fbe
"Продам кирпичный гараж ул.КОБЫЛЯНСКАЯ 45    ","Черновцы, Черновицкая область, Черновцы город"," 20:37, 16 августа 2017",211259760,"10 000 $","ул Кобылянская 45     Вход с библиотеки,возле Виденьськой кавярни    Крайний от корта     Большой,высокий, кирпичный-джип или микроавтобус залетает.Возможен обмен на авто или недвижимость.Если что-то очень дорогое-могу предложить свой автомобиль в доплату.Рассмотрим все предложения.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring02.akamaized.net/images_slandocomua/220194716_2_644x461_prodam-kirpichnyy-garazh-ulkobylyanskaya-45-fotografii.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/220194716_3_644x461_prodam-kirpichnyy-garazh-ulkobylyanskaya-45-prodazha-garazhey-stoyanok.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/220194716_4_644x461_prodam-kirpichnyy-garazh-ulkobylyanskaya-45-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/prodam-kirpichnyy-garazh-ul-kobylyanskaya-45-IDeiqju.html#d87ad13fbe
"2-х комнатная квартира    ","Счастье, Луганская область, Луганск, город"," 20:37, 16 августа 2017",425731116,"5 000 $","Продам квартиру в г. Счастье старый город хорошее состояние, рядом садик, магазин за углом. Частично с мебелью. Обдуманный торг у дверей.","Частного лица																","Вторичный рынок																",2,"не указано","44 м","6 м","Панельный																</a>",4,4,"не указано","не указано","не указано",https://www.olx.ua/obyavlenie/2-h-komnatnaya-kvartira-IDsOk6U.html#d87ad13fbe
"Продам жилой домик    ","Изюм, Харьковская область, Изюмский район"," 20:36, 16 августа 2017",446326378,"3 300 $","Продам небольшой жилой димик в районе площади революции. В доме вода, небольшой ремонт, печное отопление, окна металло-пластиковые. Имеется фундамент для пристройки. Подробнее по телефону.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring04.akamaized.net/images_slandocomua/517720346_2_644x461_prodam-zhiloy-domik-fotografii.jpg,https://olxua-ring04.akamaized.net/images_slandocomua/517720346_3_644x461_prodam-zhiloy-domik-prodazha-domov-v-gorode.jpg,https://olxua-ring04.akamaized.net/images_slandocomua/517720346_4_644x461_prodam-zhiloy-domik-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/prodam-zhiloy-domik-IDucJSy.html#d87ad13fbe
"Продам1 ком кв ул.Мира    ","Каменское, Днепропетровская область"," 20:36, 16 августа 2017",444416434,"5 000 $","Продам 1 ком кв район вокзала ул.Мира 4/5пластик окна трубы .Квартира чистая сухая .","Бизнес																","Вторичный рынок																",1,"не указано","30 м","не указано","не указано",4,5,https://olxua-ring02.akamaized.net/images_slandocomua/515840416_2_644x461_prodam1-kom-kv-ulmira-fotografii.jpg,"не указано","не указано",https://www.olx.ua/obyavlenie/prodam1-kom-kv-ul-mira-IDu4J10.html#d87ad13fbe
"Обмен жилья в Купянске на Харьков    ","Купянск, Харьковская область, Купянский район"," 20:36, 16 августа 2017",166407855,,"Поменяю 4-х квартиру в г. Купянске (Ковшаровка) на жилье в Харькове или в пригороде с моей доплатой. В квартире индивидуальное отопление, двухконтурный котел, поменяли все трубы.  В ремонтном состоянии.Рассмотрю любые варианты. Также рассматривается продажа квартиры.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/obmen-zhilya-v-kupyanske-na-harkov-IDbgehF.html#d87ad13fbe
"Сдаю жилье    ","Славянск, Донецкая область, Славянский район"," 20:36, 16 августа 2017",330316790,"100 грн.",,"Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring10.akamaized.net/images_slandocomua/362493742_2_644x461_sdayu-zhile-fotografii_rev002.jpg,https://olxua-ring10.akamaized.net/images_slandocomua/362493742_3_644x461_sdayu-zhile-koyko-mesta_rev002.jpg,https://olxua-ring10.akamaized.net/images_slandocomua/362493742_4_644x461_sdayu-zhile-nedvizhimost_rev002.jpg,https://www.olx.ua/obyavlenie/sdayu-zhile-IDmlYua.html#d87ad13fbe
"Срочно.Торг. Комнаты раздельные, МПО.3/5    ","Одесса, Одесская область, Малиновский"," 20:36, 16 августа 2017",446321688,"27 900 $","В срочной продаже 2х-комнатная квартира. 3этаж . Блочно-кирпичный дом. Комнаты раздельные ,гардеробная. Металлопластиковое остекление. Санузел раздельный,трубы поменяны, приборы учета. Тепло-счетчик на доме.  Чистая парадная.","Бизнес																","Вторичный рынок																",2,"46 м","32 м","6 м","Кирпичный																</a>",3,5,"не указано","не указано","не указано",https://www.olx.ua/obyavlenie/srochno-torg-komnaty-razdelnye-mpo-3-5-IDucIEU.html#d87ad13fbe
"Лучшая цена на хостел, койко-место (общежитие), м. Шулявская, класное    ","Киев, Киевская область, Шевченковский"," 20:36, 16 августа 2017",446324744,"350 грн.","Хостeл повышeнного комфорта рядом с мeтро Шyлявская

Всe фотографии рeальныe!

- Хостeл оборyдован бытовой тeхникой: стиральная машинка, два больших холодильника, микроволновая пeчь, тeлeвизор, элeктрочайник, yтюг, фeн.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring04.akamaized.net/images_slandocomua/517719486_2_644x461_luchshaya-tsena-na-hostel-koyko-mesto-obschezhitie-m-shulyavskaya-klasnoe-fotografii_rev008.jpg,https://olxua-ring04.akamaized.net/images_slandocomua/517719486_3_644x461_luchshaya-tsena-na-hostel-koyko-mesto-obschezhitie-m-shulyavskaya-klasnoe-koyko-mesta_rev008.jpg,https://olxua-ring04.akamaized.net/images_slandocomua/517719486_4_644x461_luchshaya-tsena-na-hostel-koyko-mesto-obschezhitie-m-shulyavskaya-klasnoe-nedvizhimost_rev008.jpg,https://www.olx.ua/obyavlenie/luchshaya-tsena-na-hostel-koyko-mesto-obschezhitie-m-shulyavskaya-klasnoe-IDucJsc.html#d87ad13fbe
"Сдам однокомнатную квартиру 5 минут пешком к м.Осокорки    ","Киев, Киевская область, Дарницкий"," 20:36, 16 августа 2017",446326280,"7 500 грн.","Сдам однокомнатную, Григорія Ващенка 1, пешком 5 минут к метро Осокорки, 11/22 этажного, 43/19/10 м/кв. Вся необходимая современная мебель, двухспальная кровать, ортопедический матрас, бойлер, холодильник, ТВ, интернет.","Бизнес																","не указано",1,"не указано","не указано","не указано","Панельный																</a>","не указано","не указано",https://olxua-ring02.akamaized.net/images_slandocomua/517721136_2_644x461_sdam-odnokomnatnuyu-kvartiru-5-minut-peshkom-k-mosokorki-fotografii.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/517721136_3_644x461_sdam-odnokomnatnuyu-kvartiru-5-minut-peshkom-k-mosokorki-dolgosrochnaya-arenda-kvartir.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/517721136_4_644x461_sdam-odnokomnatnuyu-kvartiru-5-minut-peshkom-k-mosokorki-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-5-minut-peshkom-k-m-osokorki-IDucJQY.html#d87ad13fbe
"Продам земельну ділянку    ","Каменка-Бугская, Львовская область, Каменка-Бугский район"," 20:36, 16 августа 2017",360239168,"2 400 $","Земля під забудовув с.Прибужани                                        
                                    
                                    
                                
                                

                                
                                                                                                

	
        	","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/prodam-zemelnu-dlyanku-IDonvFa.html#d87ad13fbe
"Продажа 3эт. Нового дома р.н Алексеевка.    ","Кропивницкий, Кировоградская область, Кировский район"," 20:36, 16 августа 2017",415427042,"120 000 $","Капитальный, добротный дом новой постройки.  Очень удобное место расположения, садик, школа, остановки обественного транспорта.  Крытый рынок, парк в пешей доступности. 
 В доме 4 комнаты,расдельные, большая  кухня, cтолловая  с выходом на задний  двор.  Большой с эркером Зал.  Просторная ванная комната.  Оборудованная Сауна с комнатой отдыха. 
Просторный Участок 7сот.","Бизнес																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/prodazha-3et-novogo-doma-r-n-alekseevka-IDs75ya.html#d87ad13fbe
